acquisition_function,local_search_starting_points,local_search_random_points,log_transform_output,lengthscale_prior,epsilon_greedy_threshold,predict_noiseless,exploration_augmentation,value,Timestamp
0.0,1.0,4.0,0.0,1.0,1.0,0.0,-5.0,0.06494624561449286,1531357
2,0,3,1,1,0,1,-3,0.028830166381645823,3045736
2,0,3,0,1,0,1,-4,0.034518642554292316,4553385
2,0,4,1,1,1,0,-5,0.04298510301069077,6043553
1,1,0,1,1,0,0,-2,0.030316454091645562,7541868
2.0,1.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.03119423187284484,9055964
0.0,0.0,0.0,1.0,1.0,0.0,0.0,-2.0,0.06397405114786375,10567673
0.0,0.0,2.0,1.0,1.0,1.0,1.0,-3.0,0.03464630578631929,12080161
1.0,1.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.028466758301969656,13570401
1.0,0.0,4.0,0.0,0.0,1.0,1.0,-5.0,0.03418410721988697,15070729
1.0,1.0,1.0,0.0,0.0,1.0,0.0,-4.0,0.01990542345497264,16590781
1.0,1.0,3.0,0.0,0.0,1.0,0.0,-5.0,0.01803970999892844,18132508
1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.017400988861165857,19632183
1.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.0,0.03463389976862852,21124844
1.0,0.0,4,1.0,1.0,0.0,1.0,-2.0,0.02222694866134941,22657249
1.0,1.0,4.0,1.0,0.0,1.0,1.0,-5.0,0.055099217814217234,24172461
1.0,1.0,4.0,0.0,1.0,0.0,1.0,-2.0,0.031796812372044,25685910
1.0,0.0,4.0,0.0,1.0,0.0,1.0,-2.0,0.031645464559694414,27209835
1.0,0.0,4,1.0,0.0,0.0,1.0,-5.0,0.029310402254628838,28723057
1.0,1.0,4.0,0.0,0.0,1.0,0.0,-4.0,0.031533408514588426,30211545
1.0,0.0,2.0,0.0,0.0,1.0,0.0,-3.0,0.025422208241001217,31691241
1.0,1.0,3.0,0.0,1.0,1.0,0.0,-2.0,0.03450739892373961,33181762
1.0,1.0,2.0,0.0,0.0,1.0,0.0,-5.0,0.03943708068708548,34731892
1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.021412789723865275,36254360
1.0,0.0,3.0,1.0,0.0,1.0,0.0,-5.0,0.027126382064258703,37785407
1.0,1.0,1.0,1.0,0.0,1.0,0.0,-4.0,0.039647249170715854,39280886
1.0,1.0,0.0,0.0,1.0,0.0,1.0,-4.0,0.027991905543249637,40775398
1.0,0.0,3.0,0.0,0.0,1.0,1.0,-4.0,0.029374665766767793,42283260
1.0,1.0,1.0,0.0,0.0,1.0,1.0,-2.0,0.03349594565779423,43859518
1.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0553825214977124,45366430
1.0,1.0,0.0,0.0,1.0,0.0,0.0,-5.0,0.02609278667259468,46901960
1.0,1.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.034391202241828164,48401684
1.0,0.0,4.0,0.0,1.0,0.0,0.0,-2.0,0.0213068926347271,49932982
1.0,1.0,3.0,0.0,1.0,1.0,0.0,-5.0,0.03509114274067264,51454739
1.0,1.0,1.0,0.0,1.0,1.0,0.0,-4.0,0.046774776558195424,52966591
1.0,0.0,0.0,1.0,0.0,0.0,0.0,-5.0,0.026759410511489928,54492675
1.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.0,0.03455156556033749,55983286
1.0,0.0,4.0,1.0,1.0,0.0,1.0,-2.0,0.03926892482729228,57502194
2.0,0.0,1.0,0.0,0.0,0.0,0.0,-5.0,0.03337262652016031,59032337
0.0,1.0,3.0,0.0,0.0,0.0,1.0,-5.0,0.0411416204910085,60551539
2.0,1.0,4.0,0.0,1.0,0.0,0.0,-5.0,0.04278443866572629,62064073
0.0,1.0,3.0,0.0,0.0,1.0,0.0,-2.0,0.03138502875921871,63574888
2.0,0.0,1.0,1.0,1.0,1.0,1.0,-2.0,0.04486722462939903,65087393
1.0,1.0,3.0,0.0,0.0,1.0,0.0,-3.0,0.04591278239285823,66580650
1.0,0.0,4.0,1.0,0.0,0.0,0.0,-2.0,0.023348439976366025,68100311
